Time	roll	pitch	yaw	lat	lon	alt
124	-2.28	-0.23	0	33.0224	-112.0384	11319.1
125	2.58	-3.01	34.3	33.0224	-112.0384	11319.1
126	-4.15	-3.27	77.15	33.0223	-112.0383	11319.1
127	-2.83	1.52	120.55	33.0221	-112.0383	11570.9
128	-3.25	-2.17	90.15	33.0221	-112.0382	11570.9
129	-7.7	0.44	75.2	33.022	-112.0382	11570.9
130	-5.53	1.77	125.27	33.022	-112.0382	11570.9
131	-8.63	-0.44	-177.71	33.0219	-112.0382	11570.9
132	-8.07	-4.68	164.74	33.0219	-112.0381	11570.9
133	-0.21	-0.43	125.62	33.0218	-112.0381	11570.9
134	-4.32	1.94	87.91	33.0218	-112.0381	11570.9
135	-4.51	0.43	74.75	33.0217	-112.0381	11570.9
136	-5.56	2.35	88.08	33.0217	-112.0381	11570.9
137	-3.58	1.05	137.56	33.0217	-112.0381	11570.9
138	-6.27	-0.22	155.88	33.0216	-112.0381	11570.9
139	-3.29	-2.19	112.91	33.0215	-112.0381	11570.9
140	-2.42	1.54	79.04	33.0215	-112.0381	11570.9
141	-2.09	0.21	70.19	33.0214	-112.0381	11689
142	-4.1	-1.51	71.66	33.0214	-112.0381	11689
143	-3.08	0.22	118.9	33.0213	-112.0381	11689
144	-4.35	-2.82	162.05	33.0213	-112.0381	11689
145	-6.85	-3.3	135.52	33.0212	-112.0381	11689
146	-8.53	-4.78	123.21	33.0212	-112.038	11689
147	-6.57	1.69	153.59	33.0211	-112.038	11689
148	-1.74	1.08	-146.69	33.021	-112.038	11689
149	-4.12	-7.11	-165.6	33.0209	-112.0379	11689
150	-2.37	-2.58	125.14	33.0208	-112.0379	11689
151	-2.75	0	166.01	33.0207	-112.0379	11689
152	-4.8	-2.83	-74.25	33.0207	-112.038	11689
153	-6.61	-1.32	-114.68	33.0206	-112.038	11689
154	-5.54	3.61	173.25	33.0206	-112.038	11689
155	-5.43	-1.3	124.18	33.0205	-112.038	11689
156	-3.07	0.22	17.74	33.0203	-112.038	11689
157	-3.67	-3.66	-170.03	33.0202	-112.038	11689
158	-2.85	-0.66	144.17	33.0202	-112.0381	11689
159	-5.51	1.54	143.11	33.0201	-112.0381	11689
160	-3.67	-0.65	87.9	33.02	-112.0382	11689
161	-3.51	-2.19	9.08	33.0199	-112.0382	11689
162	-6.37	-0.45	-71.32	33.0198	-112.0382	11689
163	-2.02	0.67	150.83	33.0197	-112.0383	11689
164	-5.42	1.8	44.27	33.0197	-112.0384	11689
165	-6.62	0	9.81	33.0196	-112.0384	11689
166	-5.62	-1.8	2.1	33.0196	-112.0385	11689
167	-3.78	0.22	-34.86	33.0195	-112.0385	11689
168	-5.71	0.44	-47.22	33.0195	-112.0386	11689
169	-8.68	2.59	-65.08	33.0194	-112.0386	11689
170	-6.18	2.26	-139	33.0194	-112.0387	11689
171	-1.25	0.42	168.71	33.0193	-112.0387	11689
172	-3.76	0.83	94.27	33.0192	-112.0387	11689
173	-5.73	1.91	55.08	33.0191	-112.0387	11689
174	-4.4	0.22	25.3	33.0191	-112.0387	11689
175	-2.24	1.34	-7.09	33.019	-112.0387	11689
176	-0.94	1.41	-66.06	33.019	-112.0388	11689
177	-1.73	0	166.83	33.0189	-112.0388	11689
178	-6.99	2.92	95.4	33.0188	-112.0389	11689
179	1.88	1.04	83.88	33.0188	-112.0389	11689
180	-3.11	4.55	25.1	33.0188	-112.039	11689
181	-0.82	-1.03	-33.26	33.0187	-112.039	11689
182	-3.38	0.84	-84.15	33.0187	-112.039	11689
183	-7.54	-0.21	-118.47	33.0187	-112.0391	12063.9
184	-3.54	4.57	163.09	33.0187	-112.0391	12063.9
185	-3.4	3.19	127.48	33.0186	-112.039	12063.9
186	-0.66	1.53	68.27	33.0185	-112.039	12063.9
187	-0.66	4.84	6.1	33.0185	-112.039	12063.9
188	-7.62	4.24	-38.5	33.0184	-112.0391	12063.9
189	-5.19	0.68	-59.84	33.0184	-112.0391	12063.9
190	-1.79	1.34	-112.65	33.0184	-112.0391	12063.9
191	-7.13	3.01	132.33	33.0183	-112.039	12063.9
192	-3.76	3.96	143.63	33.0183	-112.039	12063.9
193	-0.2	-1.84	175.77	33.0182	-112.039	12063.9
194	-1.31	-2.39	95.89	33.0181	-112.039	12063.9
195	-1.54	0	14.97	33.018	-112.0389	12063.9
196	-5.35	2.78	-32.52	33.018	-112.0389	12063.9
197	-4.34	-0.21	-14.7	33.0179	-112.0389	12063.9
198	-2.61	-2.83	-1.59	33.0179	-112.0388	12200.1
199	-5.53	-1.77	-25.18	33.0178	-112.0387	12200.1
200	-8.1	-1.74	-41.47	33.0178	-112.0387	12200.1
201	-5.13	0.89	-57.03	33.0178	-112.0387	12200.1
202	-4.2	1.32	-60.43	33.0177	-112.0387	12200.1
203	-5.37	0.21	-9.91	33.0177	-112.0387	12200.1
204	-3.62	1.49	48.52	33.0176	-112.0387	12200.1
205	-1.1	-1.54	57.98	33.0176	-112.0387	12200.1
206	-6.9	-0.89	35.83	33.0176	-112.0387	12200.1
207	-5.14	-3.42	8.18	33.0175	-112.0387	12200.1
208	-2.3	0.63	-16.71	33.0175	-112.0387	12200.1
209	-3.09	0.62	-6.16	33.0174	-112.0387	12200.1
210	-1.78	1.33	34.12	33.0173	-112.0387	12200.1
211	-0.22	0.22	61.96	33.0172	-112.0387	12200.1
212	-0.41	-0.61	51.04	33.0172	-112.0387	12200.1
213	-5.81	0.21	47.73	33.0172	-112.0386	12200.1
214	-2.82	-0.87	102.76	33.0172	-112.0386	12200.1
215	-2.43	-1.55	-157.47	33.0172	-112.0386	12200.1
216	-4.67	-3.33	-33.98	33.0172	-112.0386	12200.1
217	-6.94	0	27.34	33.0172	-112.0386	12200.1
218	-2.41	-1.53	108.76	33.0172	-112.0386	12200.1
219	-5.65	-3.46	127.69	33.0172	-112.0386	12200.1
220	-0.64	-1.71	98.42	33.0172	-112.0387	12200.1
221	-2.94	0.42	120.7	33.0172	-112.0387	12200.1
222	-3.52	0	-173.12	33.0172	-112.0387	12200.1
223	-2.66	0.67	-153.81	33.0172	-112.0387	12200.1
224	-0.87	-1.74	-175.8	33.0172	-112.0387	12200.1
225	-5.45	-0.87	142.57	33.0172	-112.0386	12200.1
226	-5.29	-1.54	116.85	33.0172	-112.0386	12200.1
227	-1.1	0	113.06	33.0172	-112.0386	12200.1
228	-2.86	-2.2	-55.68	33.0173	-112.0386	12200.1
229	-1.54	-3.08	14.43	33.0173	-112.0385	12200.1
230	0.43	-3.2	-22.21	33.0173	-112.0385	12200.1
231	-5.99	-4.26	-51.15	33.0173	-112.0384	12200.1
232	-6.34	2.18	11.53	33.0172	-112.0384	12200.1
233	-5.69	-0.21	63.5	33.0172	-112.0383	12200.1
234	-5.21	-5.19	73.46	33.0172	-112.0384	12200.1
235	-4.78	-3.47	104.31	33.0172	-112.0384	12200.1
236	-3.81	1.27	125.94	33.0173	-112.0384	12200.1
237	-2.61	0.87	130.93	33.0173	-112.0384	12200.1
238	-6.85	0.22	138.47	33.0173	-112.0384	12200.1
239	-4.58	-1.31	-137.8	33.0173	-112.0383	12200.1
240	-1.3	-4.98	-51.77	33.0173	-112.0383	12200.1
241	-7.79	-1.33	-85.53	33.0172	-112.0382	12200.1
242	-5.47	-0.87	-111.56	33.0172	-112.0382	12200.1
243	-1.95	-1.73	-175.54	33.0172	-112.0382	12200.1
244	-7.88	-1.09	157.3	33.0172	-112.0382	12200.1
245	-10.27	3.55	-135.82	33.0172	-112.0381	12200.1
246	-5.4	-0.45	-76.35	33.0172	-112.0381	12200.1
247	-4.07	-2.26	-172.83	33.0172	-112.0381	12200.1
248	-1.54	-0.44	147.36	33.0172	-112.0381	12200.1
249	-6.59	1.59	114.39	33.0172	-112.0381	12200.1
250	-7.73	0	77.71	33.0172	-112.0381	12200.1
251	-6.01	-0.69	36.97	33.0172	-112.0381	12200.1
252	-5.4	-2.92	-3.19	33.0172	-112.0381	12200.1
253	-3.52	-3.51	-120.4	33.0172	-112.0381	12200.1
254	2.52	-2.1	82.69	33.0172	-112.0381	12200.1
255	-6.66	0.62	11.38	33.0173	-112.0381	12671.4
256	-5.78	-0.44	27.42	33.0174	-112.038	12671.4
257	-1.5	-1.07	2.25	33.0174	-112.038	12671.4
258	-8.49	2.75	-17.04	33.0174	-112.0379	12671.4
259	-3.54	2.91	45.85	33.0175	-112.0378	12671.4
260	-4.92	-1.92	71.23	33.0175	-112.0377	12671.4
261	-3.68	1.52	-12.67	33.0175	-112.0377	12671.4
262	-6.39	-2.2	-81.33	33.0176	-112.0376	12671.4
263	-2.15	0	-82.66	33.0176	-112.0375	12671.4
264	-4.42	1.76	-141.75	33.0176	-112.0375	12671.4
265	-2.85	-1.1	-160.24	33.0177	-112.0374	12671.4
266	-0.46	0.23	-172.1	33.0177	-112.0373	12671.4
267	-4.01	0.44	161.36	33.0178	-112.0372	12671.4
268	-1.75	-5.45	131.84	33.0178	-112.0371	12671.4
269	-0.43	0.64	60.75	33.0179	-112.0369	12817.3
270	-9.02	1.12	83.73	33.018	-112.0368	12817.3
271	-5.09	0.23	169.58	33.0181	-112.0367	12817.3
272	-2.7	-1.13	-137.93	33.0182	-112.0366	12817.3
273	-1.8	-3.81	-105.3	33.0182	-112.0365	12817.3
274	-7.88	2.62	-27.53	33.0183	-112.0364	12817.3
275	2.36	0	73.51	33.0184	-112.0363	12817.3
276	-4.21	-1.47	58.59	33.0185	-112.0362	12817.3
277	-0.44	-0.87	-46.41	33.0185	-112.036	12817.3
278	-4.87	-1.33	-170.89	33.0186	-112.0359	12817.3
279	-2.14	-0.21	138.59	33.0187	-112.0357	12817.3
280	-6.73	-3.36	47.7	33.0187	-112.0356	12817.3
281	-7.95	-0.21	-27.02	33.0187	-112.0354	12817.3
282	-6.03	1.07	-2.95	33.0187	-112.0353	12817.3
283	-0.87	-2.39	14.33	33.0188	-112.0352	12817.3
284	-2.84	-1.96	-127.94	33.0188	-112.0349	12975.3
285	-3.66	-0.86	78.99	33.0188	-112.0348	12975.3
286	-8.67	-6.71	59.33	33.0189	-112.0346	12975.3
287	-6.76	1.47	46.5	33.0189	-112.0345	12975.3
288	-3.04	4.33	42.58	33.0189	-112.0343	12975.3
289	-1.55	1.78	14.38	33.019	-112.0342	12975.3
290	-8.48	-0.22	-127.79	33.019	-112.034	12975.3
291	-1.51	-3.02	105.75	33.019	-112.0338	12975.3
292	-5.27	-5.67	33.22	33.0191	-112.0337	12975.3
293	2.53	0	-33.01	33.0192	-112.0335	12975.3
294	-6.34	0.23	173.17	33.0192	-112.0333	12975.3
295	-0.86	-4.28	154.73	33.0193	-112.0331	12975.3
296	-0.65	0.22	125.02	33.0193	-112.0329	12975.3
297	-4.1	3.41	75.62	33.0194	-112.0327	12975.3
298	-4.25	0	33.19	33.0194	-112.0323	13124.1
299	0.24	-3.09	7.06	33.0194	-112.0321	13124.1
300	-2.77	1.85	-59.77	33.0194	-112.032	13124.1
301	-7.32	0.44	175.91	33.0194	-112.0317	13124.1
302	-4.3	1.29	167.92	33.0194	-112.0315	13124.1
303	-4.5	0.45	-157.21	33.0194	-112.0313	13124.1
304	-5.03	-3.65	-99.6	33.0194	-112.0311	13124.1
305	-5.05	-2.29	-74.8	33.0194	-112.0308	13124.1
306	-0.43	-1.28	-4.24	33.0194	-112.0306	13124.1
307	-2.29	-2.5	36.96	33.0194	-112.0304	13124.1
308	-4.8	-1.04	25.79	33.0194	-112.0302	13124.1
309	-3.39	-2.54	39.9	33.0194	-112.0299	13124.1
310	-3.46	-0.86	108.35	33.0193	-112.0297	13124.1
311	-2.46	-0.45	133.39	33.0193	-112.0295	13124.1
312	-1.81	-0.91	85.31	33.0193	-112.0293	13124.1
313	-2.14	-0.86	52.24	33.0193	-112.0291	13124.1
314	-3.74	2.08	67.05	33.0193	-112.0287	13124.1
315	-3.52	0.88	126.08	33.0194	-112.0285	13124.1
316	-2.51	2.71	-125.18	33.0194	-112.0283	13124.1
317	-5.1	0.64	-23.49	33.0194	-112.0281	13124.1
318	-5.02	1.52	19.39	33.0194	-112.0279	13124.1
319	-4.58	0.22	45.29	33.0194	-112.0278	13124.1
320	-3.95	0.44	65.62	33.0193	-112.0276	13124.1
321	-0.44	-3.28	127.19	33.0193	-112.0274	13124.1
322	-0.88	-0.88	-90.64	33.0193	-112.0272	13124.1
323	0	-1.11	-22.1	33.0193	-112.0271	13124.1
324	1.88	2.51	-52.55	33.0192	-112.0269	13124.1
325	-5.37	-0.43	-67.88	33.0192	-112.0268	13124.1
326	-9.25	-0.22	-29.8	33.0192	-112.0266	13124.1
327	-3.29	3.72	47.27	33.0191	-112.0264	13124.1
328	-4.75	1.08	86.36	33.0191	-112.0263	13124.1
329	-6.48	0.22	100.34	33.019	-112.0259	13379.6
330	-9.83	0.89	117.41	33.019	-112.0258	13379.6
331	-6.72	4.75	152.27	33.019	-112.0256	13379.6
332	-1.72	-0.43	-102.6	33.0189	-112.0255	13379.6
333	-13.29	-3.95	-69.41	33.0189	-112.0253	13379.6
334	-8.13	2.19	-1.38	33.0188	-112.0251	13379.6
335	-3.95	0	88.94	33.0188	-112.025	13379.6
336	-5.04	-1.31	128.61	33.0188	-112.0248	13379.6
337	-7.61	-2.53	135.28	33.0188	-112.0247	13379.6
338	-0.47	2.57	-112.45	33.0188	-112.0245	13379.6
339	-3.28	0	-3.5	33.0188	-112.0243	13379.6
340	0	1.25	31.6	33.0188	-112.0241	13379.6
341	-5.58	0.86	51.53	33.0187	-112.0239	13379.6
342	-6.48	1.08	65.07	33.0187	-112.0237	13379.6
343	-1.74	-1.74	96.89	33.0186	-112.0233	13510
344	-5.96	-0.46	86.24	33.0185	-112.0231	13510
345	-4.6	3.5	122.55	33.0185	-112.023	13510
346	-3.24	0.86	-163.22	33.0184	-112.0229	13510
347	-1.06	-2.77	110.3	33.0184	-112.0227	13510
348	-3.26	-2.83	12.54	33.0183	-112.0226	13510
349	-3.96	0	-56.72	33.0183	-112.0225	13510
350	-6.19	-1.55	-115.45	33.0183	-112.0224	13510
351	-3.34	0.22	171.35	33.0182	-112.0223	13510
352	-3.87	1.07	149.22	33.0182	-112.0221	13510
353	-4.82	-2.84	-174.55	33.0182	-112.022	13510
354	-3.31	-1.32	160.8	33.0182	-112.0219	13510
355	-4.62	0.22	101.16	33.0181	-112.0218	13510
356	-1.29	-0.22	57.76	33.0181	-112.0217	13510
357	-1.68	0.63	-27.93	33.0181	-112.0215	13510
358	-5.37	-0.43	45.14	33.018	-112.021	13510
359	-4.57	1.52	-24.89	33.0179	-112.0209	13510
360	-3.89	-2.37	-92.78	33.0179	-112.0208	13510
361	-3.09	-1.33	119.74	33.0179	-112.0207	13510
362	0.23	-0.91	29.33	33.0178	-112.0205	13510
363	-2.83	1.88	-53.48	33.0178	-112.0204	13510
364	1.59	0.45	-153.52	33.0178	-112.0203	13510
365	-4.86	2.08	98.5	33.0177	-112.0202	13510
366	-3.34	2.67	43.58	33.0177	-112.0201	13510
367	-6.53	3.78	17.49	33.0177	-112.0200	13510
368	-1.43	-0.2	12.99	33.0177	-112.0199	13510
369	-2.7	1.66	-47.66	33.0177	-112.0198	13510
370	-3.83	0.64	-158.32	33.0177	-112.0197	13510
371	-6.16	2.25	121.42	33.0177	-112.0194	13510
372	-3.83	-0.43	127.41	33.0177	-112.0193	13510
373	-0.22	1.74	112.03	33.0177	-112.0191	13510
374	-3.2	1.92	95.14	33.0177	-112.019	13510
375	-2.92	-1.88	141.13	33.0177	-112.0189	13510
376	-4.23	-4.44	130.72	33.0177	-112.0188	13510
377	-5.67	-6.31	72.8	33.0177	-112.0187	13510
378	-2.85	-6.55	41.88	33.0177	-112.0185	13510
379	-5.31	-2.54	0	33.0176	-112.0183	13510
380	-5.62	1.35	37.12	33.0176	-112.0182	13510
381	-4.23	0.44	40.04	33.0176	-112.018	13510
382	-4.16	2.19	17.98	33.0175	-112.0178	13510
383	-3.93	1.53	-7.27	33.0175	-112.0176	13510
384	-0.45	1.59	-67.03	33.0174	-112.0175	13510
385	-7.04	1.59	-172.26	33.0174	-112.0173	13510
386	-7.42	-0.65	153.54	33.0174	-112.0169	13904.4
387	-0.23	0.45	107.09	33.0174	-112.0168	13904.4
388	-4.57	1.83	86.51	33.0174	-112.0166	13904.4
389	-3.65	-2.28	111.7	33.0174	-112.0164	13904.4
390	-1.11	-1.33	84.73	33.0174	-112.0162	13904.4
391	-6.68	0.44	69.06	33.0174	-112.0161	13904.4
392	-4.54	-2.49	104.12	33.0174	-112.016	13904.4
393	-4.74	-0.68	133.31	33.0174	-112.0159	13904.4
394	-1.11	0.67	131.48	33.0174	-112.0157	13904.4
395	-0.82	-0.82	-158.13	33.0174	-112.0156	13904.4
396	-2.1	-0.42	-25.92	33.0174	-112.0155	13904.4
397	-3	0.43	41.82	33.0174	-112.0154	13904.4
398	-3.06	0.22	88.41	33.0173	-112.0153	13904.4
399	-3.6	-2.03	109.24	33.0173	-112.0152	13904.4
400	-3.78	0.22	124.25	33.0173	-112.0151	13904.4
401	-1.79	0	138.22	33.0172	-112.0148	13904.4
402	-4.74	2.71	137.17	33.0172	-112.0147	13904.4
403	-3.06	-0.44	-162.6	33.0172	-112.0146	13904.4
404	-5.19	-2.03	-51.63	33.0172	-112.0145	13904.4
405	-2.05	0.23	17.58	33.0171	-112.0144	13904.4
406	-2.95	-0.91	67.21	33.0171	-112.0143	13904.4
407	-2.77	1.7	83.83	33.0171	-112.0143	13904.4
408	-4.53	1.72	0	33.0171	-112.0142	13904.4
409	-7.02	2.19	132.47	33.017	-112.0141	13904.4
410	-1.97	0	-132.8	33.017	-112.014	13904.4
411	-4.1	-1.08	-68.25	33.017	-112.0139	13904.4
412	-4.15	1.31	-86.13	33.0169	-112.0138	13904.4
413	-5.27	0	-85.28	33.0169	-112.0136	13904.4
414	-5.19	-2.38	-64.29	33.0168	-112.0135	13904.4
415	-3.29	-0.22	-42.25	33.0168	-112.0134	13904.4
416	-2.41	-1.53	-4.92	33.0167	-112.0131	13904.4
417	-3.08	-0.22	12.87	33.0167	-112.013	13904.4
418	-2.84	0.66	3.65	33.0166	-112.0128	13904.4
419	-4.37	0.65	-37.78	33.0166	-112.0127	13904.4
420	-5.78	-1.77	-76.29	33.0166	-112.0125	13904.4
421	-4.73	-1.72	-97.31	33.0165	-112.0123	13904.4
422	-3.14	0.67	-84.2	33.0165	-112.0122	13904.4
423	-2.44	0	-66.22	33.0165	-112.0121	13904.4
424	-3.19	-1.14	-141.13	33.0165	-112.0119	13904.4
425	-4.78	-1.82	113.95	33.0165	-112.0118	13904.4
426	-3.71	-1.09	87.52	33.0165	-112.0117	13904.4
427	-3.04	1.3	92.29	33.0165	-112.0116	13904.4
428	-3.89	0	110.99	33.0165	-112.0115	13904.4
429	-5.69	-1.97	117.04	33.0165	-112.0114	13904.4
430	-3.84	0	137.28	33.0165	-112.0113	13904.4
431	-2.45	0.22	170.21	33.0164	-112.0112	13904.4
432	-4.24	0.22	-151.45	33.0164	-112.011	13904.4
433	-3.62	-2.03	-22.3	33.0164	-112.0109	13904.4
434	-2.66	-0.22	71.44	33.0163	-112.0108	13904.4
435	-2.65	0	-143.43	33.0163	-112.0107	13904.4
436	-2.15	1.72	-63.29	33.0162	-112.0106	13904.4
437	-4	-1.26	-22.9	33.0162	-112.0105	13904.4
438	-5.86	-1.67	-12.97	33.0161	-112.0105	13904.4
439	-4.19	-0.84	-10.49	33.0161	-112.0104	13904.4
440	-4.24	-1.27	17.79	33.0161	-112.0103	13904.4
441	-2.17	2.38	67.01	33.016	-112.0101	13904.4
442	-1.09	-1.95	129	33.016	-112.0100	13904.4
443	-7.61	0.43	104.62	33.016	-112.0099	13904.4
444	-8.5	-1.09	78.15	33.016	-112.0098	13904.4
445	-7.95	-0.64	102.69	33.0161	-112.0097	13904.4
446	-1.6	-1.37	-162.91	33.0161	-112.0092	13904.4
447	-7.3	-2.35	-107.75	33.0161	-112.009	13904.4
448	-7.15	2.76	-74.9	33.0161	-112.0089	13904.4
449	-0.22	2.68	-67.58	33.0161	-112.0087	13904.4
450	-1.95	1.51	179.79	33.0161	-112.0085	13904.4
451	-6.66	0.89	110.17	33.0161	-112.0083	13904.4
452	-3.92	-1.09	87.05	33.0161	-112.0081	13904.4
453	-6.96	1.3	42.72	33.0161	-112.0079	13904.4
454	-6.57	1.27	10.52	33.0161	-112.0078	13904.4
455	-3.38	3.37	-43.66	33.016	-112.0077	13904.4
456	-4.5	0.43	-149.76	33.016	-112.0075	13904.4
457	-4.35	-0.87	105.02	33.016	-112.0074	13904.4
